Members of the New York State Assembly,,,,,
District,Member,Party,First elected,,Residence
108,"John T. McDonald, III",Dem,2012,,Cohoes
109,Patricia Fahy,Dem,2012,,Albany
110,Phil Steck,Dem,2012,,Loudonville
111,Angelo Santabarbara,Dem,2012,,Rotterdam
112,Jim Tedisco,Rep,1982,,Glenville
113,"Vacant (last held by J. Anthony ""Tony"" Jordan)",,,,Sarasota Springs
114,Dan Stec,Rep,2012,,Queensbury
115,Janet Duprey,Rep,2006,,Peru
116,Addie Jenne Russell,Dem,2008,,Theresa
117,Ken Blankenbush,Rep,2010,,Black River
118,Marc Butler,Rep,1995,,Newport
119,Anthony Brindisi,Dem,2011,,Utica
120,William A. Barclay,Rep,2002,,Pulaski
121,William Magee,Dem,1990,,Nelson
122,Clifford Crouch,Rep,1995,,Guilford
123,Donna Lupardo,Dem,2004,,Endwell
124,Christopher Friend,Rep,2010,,Big Flats
125,Barbara Lifton,Dem,2002,,Ithaca
126,Gary Finch,Rep,1999,,Springport
127,Al Stirpe,Dem,2012,,North Syracuse
128,Sam Roberts,Dem,2010,,Syracuse
129,William Magnarelli,Dem,1998,,Syracuse
130,Robert Oaks,Rep,1992,,Macedon
131,Brian Kolb,Rep,2000,,Canandaigua
132,Philip Palmesano,Rep,2010,,Corning
133,Bill Nojay,Rep,2012,,Pittsford
134,Vacant (last held by William D. Reilich),,,,Greece
135,Mark C. Johns,Rep,2010,,Webster
136,Joseph Morelle,Dem,1990,,Irondequoit
137,David Gantt,Dem,1982,,Rochester
138,Harry Bronson,Dem,2010,,Rochester
139,Stephen Hawley,Rep,2006,,Batavia
140,Robin Schimminger,Dem,1976,,Kenmore
141,Crystal Peoples-Stokes,Dem,2002,,Buffalo
142,Mickey Kearns,Dem‡,2012,,Buffalo
143,Vacant (last held by Dennis H. Gabryszak),,,,Cheektowga
144,Jane Corwin,Rep,2008,,Clarence
145,John Ceretto,Rep,2010,,Lewiston
146,Raymond Walter,Rep,2011,,East Amherst
147,David DiPietro,Rep,2012,,East Aurora
148,Joseph Giglio,Rep,2005,,Gowanda
149,Sean Ryan,Dem,2011,,Buffalo
150,Andy Goodell,Rep,2010,,Jamestown
